session_id,model_type,turn_count,therapist_turns,patient_turns,word_count,char_count,parsing_status,num_missing_act_fm,num_missing_tes,act_fm_consistent_aware,act_fm_consistent_engaged,act_fm_consistent_open,act_fm_consistent_stance,act_fm_inconsistent_aware,act_fm_inconsistent_engaged,act_fm_inconsistent_open,act_fm_inconsistent_stance,act_fm_total_consistency,act_fm_total_inconsistency,tes_total_empathy_mean,act_fm_item_1,act_fm_item_10,act_fm_item_11,act_fm_item_12,act_fm_item_13,act_fm_item_14,act_fm_item_15,act_fm_item_16,act_fm_item_17,act_fm_item_18,act_fm_item_19,act_fm_item_2,act_fm_item_20,act_fm_item_21,act_fm_item_22,act_fm_item_23,act_fm_item_24,act_fm_item_25,act_fm_item_3,act_fm_item_4,act_fm_item_5,act_fm_item_6,act_fm_item_7,act_fm_item_8,act_fm_item_9,tes_item_1,tes_item_2,tes_item_3,tes_item_4,tes_item_5,tes_item_6,tes_item_7,tes_item_8,tes_item_9
117,llama3_3b_instruct,40,20,20,5167,29154,OK,0,0,6,5,6,6.0,4,4,2,4,23.0,14,4.888888888888889,2,2,1,0,1,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,5,4,5,5,5,5,5,5,5
118,llama3_3b_instruct,50,25,25,3961,21112,OK,0,0,8,9,9,7.5,0,0,0,1,33.5,1,6.888888888888889,2,3,0,0,0,3,3,2,0,0,0,3,3,3,3,0,0,0,2,3,0,1,0,3,3,7,6,7,7,7,7,7,7,7
119,llama3_3b_instruct,34,17,17,5528,32954,OK,0,0,0,5,0,3.0,0,2,1,6,8.0,9,4.444444444444445,2,0,1,0,0,0,0,0,0,0,0,1,1,2,2,0,2,0,0,1,2,1,3,0,0,5,4,4,5,4,5,4,4,5
11,llama3_3b_instruct,48,24,24,5343,30271,OK,0,0,7,9,9,6.75,0,0,0,3,31.75,3,6.0,2,3,0,0,0,2,3,2,0,0,0,3,3,3,3,0,0,0,2,2,1,1,1,3,3,6,5,6,6,6,7,6,6,6
120,llama3_3b_instruct,51,25,26,4722,25802,OK,0,0,6,6,6,6.0,2,3,2,3,24.0,10,4.888888888888889,2,2,1,1,0,2,2,2,1,1,0,2,2,2,2,1,1,1,2,2,1,1,1,2,2,5,4,5,5,5,5,5,5,5
121,llama3_3b_instruct,24,12,12,2558,14603,OK,0,0,5,3,5,6.0,5,5,5,5,19.0,20,3.7777777777777777,2,1,2,1,2,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,4,4,4,4,3,4,4,3,4
122,llama3_3b_instruct,51,25,26,3006,16174,OK,0,0,8,5,9,9.0,0,0,0,0,31.0,0,6.222222222222222,3,3,0,0,0,3,3,2,0,0,0,3,3,1,1,0,0,0,3,3,0,0,0,3,3,7,6,5,7,6,6,6,7,6
123,llama3_3b_instruct,51,25,26,2787,14987,OK,0,0,6,5,6,6.0,5,4,4,4,23.0,17,4.555555555555555,2,2,2,1,1,3,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1,2,2,5,4,4,5,5,5,4,4,5
124,llama3_3b_instruct,51,25,26,3231,17562,OK,0,0,8,6,8,7.5,1,0,0,1,29.5,2,5.666666666666667,2,3,0,0,0,3,3,2,0,0,1,3,2,2,2,0,0,0,2,3,0,0,1,2,3,6,5,5,6,6,5,6,6,6
125,llama3_3b_instruct,51,25,26,3347,18204,OK,0,0,7,8,7,7.5,3,1,1,3,29.5,8,5.555555555555555,3,3,0,0,1,3,2,2,1,1,1,2,2,3,3,0,1,0,2,3,1,1,1,2,2,6,5,5,6,6,6,6,5,5
126,llama3_3b_instruct,44,22,22,4062,22348,OK,0,0,5,5,5,6.75,5,5,5,5,21.75,20,4.444444444444445,2,2,2,1,2,2,2,1,2,1,2,3,2,1,2,1,2,2,2,2,1,2,2,2,1,5,4,4,5,4,5,4,4,5
127,llama3_3b_instruct,51,25,26,4405,24078,OK,0,0,8,8,9,8.25,0,0,0,0,33.25,0,6.777777777777778,3,3,0,0,0,3,3,2,0,0,0,3,3,3,2,0,0,0,2,3,0,0,0,3,3,7,6,6,7,7,7,7,7,7
128,llama3_3b_instruct,51,25,26,3499,19482,OK,0,0,5,5,6,5.25,3,0,0,2,21.25,5,4.777777777777778,2,2,0,0,0,2,2,1,1,1,1,2,2,2,1,0,0,0,1,2,0,1,1,2,2,5,4,4,5,5,5,5,5,5
129,llama3_3b_instruct,51,25,26,4002,22147,OK,0,0,6,4,6,6.0,4,4,4,4,22.0,16,5.222222222222222,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,2,5,4,5,6,5,5,6,5,6
12,llama3_3b_instruct,51,25,26,3093,16325,OK,0,0,7,5,7,6.75,4,4,4,4,25.75,16,4.555555555555555,2,2,2,1,1,3,2,2,1,1,2,3,2,2,1,1,2,1,2,2,1,1,2,3,2,5,4,4,5,4,5,5,4,5
130,llama3_3b_instruct,44,22,22,4498,26060,OK,0,0,8,7,9,7.5,1,0,0,1,31.5,2,5.888888888888889,2,3,0,0,0,3,3,2,0,0,1,3,3,2,2,0,0,0,2,3,0,0,1,3,3,6,5,6,6,6,6,6,6,6
131,llama3_3b_instruct,51,25,26,3458,20234,OK,0,0,9,5,9,8.25,0,0,0,1,31.25,1,5.888888888888889,3,3,0,0,0,3,3,3,0,0,0,3,2,2,1,0,0,0,2,3,0,0,1,3,3,6,5,6,6,6,6,6,6,6
132,llama3_3b_instruct,51,25,26,5103,28053,OK,0,0,8,9,8,6.75,4,1,2,4,31.75,11,5.555555555555555,2,2,1,0,1,3,3,2,2,1,1,3,3,3,3,0,1,0,2,2,1,2,1,3,3,6,5,5,6,5,6,6,5,6
133,llama3_3b_instruct,51,25,26,3623,20093,OK,0,0,4,2,4,6.0,5,1,4,5,16.0,15,4.222222222222222,2,1,2,1,1,2,1,1,2,1,2,2,1,1,0,0,1,0,2,2,1,2,2,1,2,5,4,4,5,4,4,4,4,4
134,llama3_3b_instruct,51,25,26,4509,24683,OK,0,0,6,6,6,6.0,3,3,3,4,24.0,13,4.555555555555555,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,5,4,4,5,5,5,4,4,5
135,llama3_3b_instruct,46,23,23,5240,29047,OK,0,0,5,5,5,5.25,6,5,5,6,20.25,22,3.7777777777777777,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,4,3,3,4,4,4,4,4,4
136,llama3_3b_instruct,51,25,26,3670,20099,OK,0,0,8,6,7,6.75,4,1,2,3,27.75,10,4.777777777777778,2,2,1,0,1,3,3,2,2,1,1,3,2,3,1,0,1,0,1,3,1,1,1,2,3,5,4,4,5,5,6,5,4,5
137,llama3_3b_instruct,51,25,26,3794,21822,OK,0,0,8,8,9,8.25,0,0,0,1,33.25,1,5.777777777777778,3,3,0,0,0,3,3,2,0,0,0,3,3,3,2,0,0,0,2,3,0,0,1,3,3,6,5,5,6,6,6,6,6,6
138,llama3_3b_instruct,51,25,26,4676,26607,OK,0,0,4,3,3,4.5,8,7,7,8,14.5,30,2.4444444444444446,2,1,3,2,2,2,1,1,3,2,3,1,1,1,1,2,3,2,2,1,2,3,3,1,1,3,3,2,3,2,3,2,2,2
139,llama3_3b_instruct,51,25,26,2903,15272,OK,0,0,5,4,4,5.25,5,4,5,5,18.25,19,4.444444444444445,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,5,4,4,5,4,5,4,4,5
13,llama3_3b_instruct,51,25,26,2990,16232,OK,0,0,6,5,7,6.75,3,0,1,3,24.75,7,5.333333333333333,3,3,1,0,0,3,2,1,2,0,1,2,2,1,2,0,0,0,2,2,1,1,1,2,2,6,5,4,6,5,5,6,5,6
140,llama3_3b_instruct,40,20,20,4034,25435,OK,0,0,8,7,9,7.5,1,0,0,1,31.5,2,5.888888888888889,3,3,0,0,0,3,3,2,0,0,1,3,3,2,2,0,0,0,2,2,0,0,1,3,3,6,5,6,6,6,6,6,6,6
141,llama3_3b_instruct,42,21,21,4702,26341,OK,0,0,5,5,4,4.5,3,4,3,4,18.5,14,4.111111111111111,2,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,2,1,2,4,3,4,5,4,5,4,4,4
142,llama3_3b_instruct,51,25,26,2870,15557,OK,0,0,8,9,9,8.25,0,0,0,0,34.25,0,6.777777777777778,3,3,0,0,0,3,3,2,0,0,0,3,3,3,3,0,0,0,2,3,0,0,0,3,3,7,6,6,7,7,7,7,7,7
143,llama3_3b_instruct,51,25,26,3920,22265,OK,0,0,6,6,7,6.75,5,3,4,5,25.75,17,5.555555555555555,2,2,2,1,1,2,2,2,2,1,2,3,2,2,2,1,1,1,2,2,1,2,2,3,2,6,5,5,6,6,6,5,5,6
144,llama3_3b_instruct,51,25,26,4379,24595,OK,0,0,5,5,6,6.0,4,3,4,4,22.0,15,4.777777777777778,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,5,4,4,5,5,5,5,5,5
145,llama3_3b_instruct,51,25,26,3316,17905,OK,0,0,8,6,9,8.25,2,1,2,3,31.25,8,5.444444444444445,3,3,1,0,1,3,3,2,1,0,1,3,2,2,2,0,1,0,2,3,1,1,1,3,3,6,5,5,6,5,5,6,6,5
146,llama3_3b_instruct,51,25,26,3955,21516,OK,0,0,8,7,9,8.25,4,1,2,4,32.25,11,5.888888888888889,3,3,1,0,1,3,3,2,2,1,1,3,3,2,2,0,1,0,2,3,1,1,2,3,3,6,6,5,6,6,6,6,6,6
147,llama3_3b_instruct,24,12,12,1789,10429,OK,0,0,5,6,6,5.25,3,2,2,3,22.25,10,4.666666666666667,2,2,1,0,1,2,2,1,1,1,1,2,2,2,2,0,1,1,1,2,1,1,1,2,2,5,4,4,5,5,5,5,4,5
148,llama3_3b_instruct,51,25,26,4310,24855,OK,0,0,9,9,9,9.0,0,0,0,0,36.0,0,6.888888888888889,3,3,0,0,0,3,3,3,0,0,0,3,3,3,3,0,0,0,3,3,0,0,0,3,3,7,6,7,7,7,7,7,7,7
149,llama3_3b_instruct,51,25,26,4083,22964,OK,0,0,8,5,8,8.25,0,0,0,0,29.25,0,6.444444444444445,3,3,0,0,0,3,3,2,0,0,0,3,2,2,1,0,0,0,2,3,0,0,0,2,3,7,6,6,6,7,6,7,7,6
14,llama3_3b_instruct,51,25,26,3834,20537,OK,0,0,5,4,6,6.0,3,1,2,4,21.0,10,4.888888888888889,2,2,1,0,1,2,2,1,1,1,1,2,2,1,1,0,1,0,2,2,1,1,2,2,2,5,4,5,5,5,5,5,5,5
150,llama3_3b_instruct,51,25,26,4526,24213,OK,0,0,4,5,4,5.25,5,4,4,5,18.25,18,4.111111111111111,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,2,1,2,1,1,2,2,1,2,5,4,4,4,4,4,4,4,4
15,llama3_3b_instruct,51,25,26,4031,22320,OK,0,0,5,6,5,4.5,5,5,5,6,20.5,21,3.5555555555555554,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,4,3,3,4,4,4,4,3,3
16,llama3_3b_instruct,51,25,26,3516,18714,OK,0,0,8,8,9,7.5,2,1,1,4,32.5,8,5.666666666666667,2,3,0,0,1,3,3,2,1,0,1,3,3,3,2,0,1,0,2,3,1,1,2,3,3,6,5,6,6,6,5,6,6,5
17,llama3_3b_instruct,51,25,26,4401,24529,OK,0,0,6,6,6,6.0,3,3,3,3,24.0,12,4.222222222222222,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,5,4,4,5,4,4,4,4,4
18,llama3_3b_instruct,51,25,26,3335,18337,OK,0,0,6,6,6,6.0,2,2,2,5,24.0,11,4.444444444444445,2,2,1,0,1,2,2,2,1,0,1,2,2,2,2,0,1,1,2,2,1,2,2,2,2,5,4,4,5,4,5,4,4,5
19,llama3_3b_instruct,51,25,26,4127,22509,OK,0,0,6,5,6,5.25,2,1,1,2,22.25,6,4.777777777777778,2,2,1,0,0,2,2,2,1,0,1,2,1,2,2,0,1,0,1,2,0,1,1,2,2,5,4,4,5,5,5,5,5,5
1,llama3_3b_instruct,51,25,26,3882,21174,OK,0,0,7,6,7,6.75,2,2,1,3,26.75,8,4.777777777777778,2,3,1,0,0,3,2,2,1,0,1,3,2,2,2,0,1,1,2,2,1,1,1,2,2,5,4,4,5,5,5,5,5,5
20,llama3_3b_instruct,36,18,18,5140,28392,OK,0,0,4,4,5,6.75,4,3,3,3,19.75,13,4.333333333333333,2,1,2,0,1,2,1,1,2,0,2,2,2,1,1,0,2,1,3,2,1,1,1,2,2,5,4,4,5,4,5,4,4,4
21,llama3_3b_instruct,51,25,26,4618,25410,OK,0,0,8,9,9,8.25,1,1,1,3,34.25,6,5.888888888888889,3,3,1,0,0,3,3,2,0,0,1,3,3,3,3,0,1,0,2,3,1,1,1,3,3,6,5,6,6,6,6,6,6,6
22,llama3_3b_instruct,51,25,26,3118,16527,OK,0,0,9,9,9,9.0,0,0,0,0,36.0,0,6.888888888888889,3,3,0,0,0,3,3,3,0,0,0,3,3,3,3,0,0,0,3,3,0,0,0,3,3,7,6,7,7,7,7,7,7,7
23,llama3_3b_instruct,46,23,23,4570,27194,OK,0,0,7,7,8,7.5,1,0,0,1,29.5,2,5.777777777777778,2,3,0,0,0,3,2,2,0,0,1,3,3,2,2,0,0,0,2,3,0,0,1,2,3,6,5,5,6,6,6,6,6,6
24,llama3_3b_instruct,40,20,20,4843,27138,OK,0,0,4,5,3,3.75,4,3,2,5,15.75,14,4.222222222222222,2,1,1,0,1,2,1,1,1,1,2,1,1,2,2,0,2,1,1,1,2,1,2,1,1,5,4,4,5,4,4,4,4,4
25,llama3_3b_instruct,51,25,26,3253,18985,OK,0,0,6,3,6,6.75,0,0,0,2,21.75,2,4.666666666666667,2,2,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,0,2,2,1,0,1,2,2,5,5,4,5,5,5,4,4,5
26,llama3_3b_instruct,50,25,25,4664,27491,OK,0,0,9,7,9,9.0,3,3,3,3,34.0,12,6.0,3,3,1,1,1,3,3,3,1,1,1,3,3,2,2,1,1,1,3,3,1,1,1,3,3,6,6,6,6,6,6,6,6,6
27,llama3_3b_instruct,51,25,26,4189,22642,OK,0,0,8,8,8,8.25,3,3,3,3,32.25,12,5.666666666666667,2,3,1,1,1,3,3,2,1,1,1,3,2,3,3,1,1,1,3,3,1,1,1,3,2,6,5,6,6,5,6,6,5,6
28,llama3_3b_instruct,26,13,13,3270,18410,OK,0,0,6,6,6,6.0,4,3,3,4,24.0,14,5.0,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,5,5,5,5,5,5,5,5,5
29,llama3_3b_instruct,51,25,26,2611,15441,OK,0,0,8,3,8,8.25,0,0,0,1,27.25,1,5.888888888888889,3,3,0,0,0,3,3,2,0,0,0,2,2,1,0,0,0,0,3,3,0,0,1,2,3,6,5,6,6,6,6,6,6,6
2,llama3_3b_instruct,51,25,26,2935,15763,OK,0,0,8,9,8,8.25,2,1,1,2,33.25,6,6.111111111111111,3,3,1,0,0,3,3,2,1,0,1,3,3,3,3,0,1,0,2,3,0,1,1,2,3,6,5,6,7,6,6,6,7,6
30,llama3_3b_instruct,51,25,26,3466,18529,OK,0,0,6,6,6,6.75,3,0,0,3,24.75,6,5.666666666666667,3,2,0,0,0,2,2,2,1,1,1,2,2,2,2,0,0,0,2,2,1,1,1,2,2,6,5,5,6,5,6,6,6,6
31,llama3_3b_instruct,51,25,26,3428,18655,OK,0,0,5,7,7,7.5,3,1,3,4,26.5,11,5.444444444444445,2,2,1,1,1,2,2,1,1,1,1,2,2,3,2,0,1,0,3,3,1,1,2,2,3,6,5,5,6,5,6,6,5,5
32,llama3_3b_instruct,51,25,26,3762,20813,OK,0,0,6,6,6,6.0,3,2,2,3,24.0,10,4.888888888888889,2,2,1,0,1,2,2,2,1,1,1,2,2,2,2,0,1,1,2,2,1,1,1,2,2,5,4,5,5,5,5,5,5,5
33,llama3_3b_instruct,51,25,26,4212,23551,OK,0,0,7,9,8,8.25,0,0,0,1,32.25,1,5.777777777777778,3,3,0,0,0,3,2,2,0,0,0,3,3,3,3,0,0,0,2,3,0,0,1,2,3,6,5,5,6,6,6,6,6,6
34,llama3_3b_instruct,51,25,26,3561,19480,OK,0,0,4,4,3,4.5,5,4,4,7,15.5,20,3.4444444444444446,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,3,1,1,4,3,3,4,3,4,3,3,4
35,llama3_3b_instruct,51,25,26,3906,22273,OK,0,0,6,6,6,6.75,4,2,2,4,24.75,12,4.666666666666667,3,2,1,0,1,2,2,2,1,1,2,2,2,2,2,0,1,1,2,2,1,1,2,2,2,5,4,4,5,4,5,5,5,5
36,llama3_3b_instruct,51,25,26,2736,14658,OK,0,0,7,5,7,7.5,2,0,1,3,26.5,6,5.777777777777778,3,3,1,0,0,3,2,2,1,0,1,2,2,1,2,0,0,0,2,3,1,1,1,2,2,6,5,5,6,6,6,6,6,6
37,llama3_3b_instruct,51,25,26,4013,22142,OK,0,0,4,5,4,5.25,2,3,1,5,18.25,11,4.333333333333333,2,1,1,0,0,2,1,1,1,0,1,2,1,2,2,0,2,1,1,2,1,2,2,1,2,5,4,4,5,4,5,4,4,4
38,llama3_3b_instruct,51,25,26,4045,23152,OK,0,0,8,4,8,6.75,3,0,0,2,26.75,5,5.444444444444445,2,3,0,0,0,3,3,2,1,0,2,3,2,1,1,0,0,0,2,2,0,1,1,2,3,6,5,5,5,6,6,5,5,6
39,llama3_3b_instruct,51,25,26,2916,17056,OK,0,0,8,5,9,8.25,0,0,0,0,30.25,0,6.777777777777778,3,3,0,0,0,3,3,2,0,0,0,3,3,1,1,0,0,0,2,3,0,0,0,3,3,7,6,6,7,7,7,7,7,7
3,llama3_3b_instruct,51,25,26,4833,26365,OK,0,0,7,6,7,6.75,3,3,3,3,26.75,12,4.555555555555555,2,2,1,1,1,3,2,2,1,1,1,3,2,2,2,1,1,1,2,2,1,1,1,2,3,5,4,4,5,4,5,4,5,5
40,llama3_3b_instruct,51,25,26,3834,22232,OK,0,0,8,5,9,8.25,0,1,0,0,30.25,1,6.111111111111111,3,3,0,0,0,3,3,2,0,0,0,3,3,1,1,0,0,1,2,3,0,0,0,3,3,6,5,6,6,7,6,6,7,6
41,llama3_3b_instruct,51,25,26,4194,23781,OK,0,0,9,9,9,9.0,0,0,0,0,36.0,0,6.777777777777778,3,3,0,0,0,3,3,3,0,0,0,3,3,3,3,0,0,0,3,3,0,0,0,3,3,7,6,6,7,7,7,7,7,7
42,llama3_3b_instruct,50,25,25,3885,23119,OK,0,0,6,1,6,5.25,2,0,1,2,18.25,5,4.555555555555555,2,2,1,0,0,3,2,1,1,0,1,2,1,0,0,0,0,0,1,2,0,1,1,2,2,5,4,4,5,4,5,4,5,5
43,llama3_3b_instruct,51,25,26,4126,21892,OK,0,0,9,9,9,9.0,1,0,0,1,36.0,2,5.888888888888889,3,3,0,0,0,3,3,3,0,0,1,3,3,3,3,0,0,0,3,3,0,0,1,3,3,6,5,6,6,6,6,6,6,6
44,llama3_3b_instruct,46,23,23,4082,24060,OK,0,0,8,8,9,8.25,1,0,0,0,33.25,1,5.888888888888889,3,3,0,0,0,3,3,2,0,0,1,3,3,3,2,0,0,0,2,3,0,0,0,3,3,6,5,6,6,6,6,6,6,6
45,llama3_3b_instruct,51,25,26,4935,26388,OK,0,0,4,5,4,5.25,3,1,1,4,18.25,9,4.555555555555555,2,1,1,0,0,2,1,1,1,1,1,2,1,2,2,0,1,0,1,2,1,1,2,1,2,5,4,5,5,4,5,5,4,4
46,llama3_3b_instruct,51,25,26,4010,23069,OK,0,0,8,9,9,7.5,0,1,0,2,33.5,3,2.6666666666666665,3,3,0,0,0,3,3,2,0,0,0,3,3,3,3,0,0,1,2,2,0,1,1,3,3,3,3,2,2,6,1,1,3,3
47,llama3_3b_instruct,51,25,26,3600,19890,OK,0,0,7,7,8,8.25,0,0,0,1,30.25,1,6.111111111111111,3,3,0,0,0,3,2,2,0,0,0,3,3,2,2,0,0,0,2,3,0,0,1,2,3,6,5,6,6,6,7,6,7,6
48,llama3_3b_instruct,51,25,26,3717,20165,OK,0,0,8,9,9,8.25,0,0,0,0,34.25,0,5.666666666666667,3,3,0,0,0,3,3,2,0,0,0,3,3,3,3,0,0,0,2,3,0,0,0,3,3,6,5,5,5,6,6,6,6,6
49,llama3_3b_instruct,51,25,26,4069,22873,OK,0,0,8,9,9,7.5,2,1,2,4,33.5,9,5.222222222222222,3,3,1,0,1,3,3,2,1,0,1,3,3,3,3,0,1,0,2,2,1,1,2,3,3,5,4,5,5,6,6,6,5,5
4,llama3_3b_instruct,46,23,23,4427,25178,OK,0,0,6,5,7,6.0,3,1,2,2,24.0,8,4.888888888888889,2,2,1,0,1,2,2,2,1,1,1,2,2,2,1,0,1,0,2,2,1,0,1,2,3,5,4,5,5,5,5,5,5,5
50,llama3_3b_instruct,51,25,26,3731,20505,OK,0,0,8,9,9,8.25,2,0,0,4,34.25,6,6.666666666666667,3,3,0,0,0,3,3,2,1,0,1,3,3,3,3,0,0,0,2,3,1,1,2,3,3,7,6,6,7,7,6,7,7,7
51,llama3_3b_instruct,44,22,22,4374,27027,OK,0,0,7,9,9,8.25,0,0,0,1,33.25,1,6.0,2,3,0,0,0,3,2,2,0,0,0,3,3,3,3,0,0,0,3,3,0,0,1,3,3,6,6,6,6,6,6,6,6,6
52,llama3_3b_instruct,51,25,26,3954,21679,OK,0,0,8,7,8,9.0,3,0,2,3,32.0,8,5.888888888888889,3,3,1,0,1,3,3,2,1,1,1,3,2,3,2,0,0,0,3,3,1,1,1,2,3,6,5,6,6,6,6,6,6,6
